 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	tnwillia
Date:	1/19/2012 1:36:42 PM
StationID:	4069500
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
10/1/2001	277.426169629748	27.067934136458	4.01376729741949E-37	0	0	0	1.69468459248181	11.945706222747	0	0	0.0097733575167714
10/2/2001	276.291457587999	26.9810920804501	1.82224753386115E-41	0	0	0	1.78014851858181	10.2973374937536	0	0	0
10/3/2001	280.38814689841	26.8540515727834	3.87521822262125E-05	0	0.00184513039753633	0.000696843146059733	1.66115236980766	10.6299407021982	0.0010694016070046	0	1.92112464385663
10/4/2001	279.385218739923	26.8230808178102	1.75934635121182E-09	0	0	0	1.25127332409807	9.45625092171075	0	0	0.0776756451935866
10/5/2001	274.895273221347	26.7520701713435	7.98742007730363E-14	0	0	0	0.981192868909251	8.97490427206954	0	0	0
10/6/2001	274.438839278119	26.671698462112	3.62628310493387E-18	0	0	0	0.781985081251989	8.97661268159891	0	0	0
10/7/2001	274.034165742566	26.5933961509989	1.64632998262619E-22	0	0	0	0.728031072911214	8.96790691499858	0	0	0
10/8/2001	273.214732860015	26.5171583187738	7.47432655771831E-27	0	0	0	0.867788998506039	8.94155143750474	0	0	0
10/9/2001	274.227080521389	26.4057654379008	6.83857007531874E-06	0	0.000779788339048095	0.000292413491981705	1.20601967275078	9.09055274538987	0.000158200918106007	0	1.31508588884001
10/10/2001	288.508721157686	26.4176755667103	0.00439372068593496	0	0.0177764578699371	0.00817000611668805	1.37255063698952	11.3561018255869	0.041002826489463	0	4.42421528293591
10/11/2001	278.465865489623	26.4920419559791	0.000428168604549001	0	0.00598552490400988	0.00236726009886155	1.25288719325898	12.0126714459889	0.000277715974208593	0	2.13635287541271
10/12/2001	274.908449751393	26.4641251851755	1.94388245730319E-08	0	0	0	1.08396560246456	10.9285741253549	0	0	0
