 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	tnwillia
Date:	1/19/2012 1:36:42 PM
StationID:	4069500
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
10/1/2001	277.426169629748	27.067934136458	4.01376729741949E-37	0	0	0	1.69468459248181	11.945706222747	0	0	0.0097733575167714
10/2/2001	276.291457587999	26.9810920804501	1.82224753386115E-41	0	0	0	1.78014851858181	10.2973374937536	0	0	0
10/3/2001	280.38814689841	26.8540515727834	3.87521822262125E-05	0	0.00184513039753633	0.000696843146059733	1.66115236980766	10.6299407021982	0.0010694016070046	0	1.92112464385663
10/4/2001	279.385218739923	26.8230808178102	1.75934635121182E-09	0	0	0	1.25127332409807	9.45625092171075	0	0	0.0776756451935866
10/5/2001	274.895273221347	26.7520701713435	7.98742007730363E-14	0	0	0	0.981192868909251	8.97490427206954	0	0	0
10/6/2001	274.438839278119	26.671698462112	3.62628310493387E-18	0	0	0	0.781985081251989	8.97661268159891	0	0	0
10/7/2001	274.034165742566	26.5933961509989	1.64632998262619E-22	0	0	0	0.728031072911214	8.96790691499858	0	0	0
10/8/2001	273.214732860015	26.5171583187738	7.47432655771831E-27	0	0	0	0.867788998506039	8.94155143750474	0	0	0
10/9/2001	274.227080521389	26.4057654379008	6.83857007531874E-06	0	0.000779788339048095	0.000292413491981705	1.20601967275078	9.09055274538987	0.000158200918106007	0	1.31508588884001
10/10/2001	288.508721157686	26.4176755667103	0.00439372068593496	0	0.0177764578699371	0.00817000611668805	1.37255063698952	11.3561018255869	0.041002826489463	0	4.42421528293591
10/11/2001	278.465865489623	26.4920419559791	0.000428168604549001	0	0.00598552490400988	0.00236726009886155	1.25288719325898	12.0126714459889	0.000277715974208593	0	2.13635287541271
10/12/2001	274.908449751393	26.4641251851755	1.94388245730319E-08	0	0	0	1.08396560246456	10.9285741253549	0	0	0
10/13/2001	270.708726456871	26.3948665050074	8.82521270279732E-13	0	0	0	0.999450117831674	10.2089354002092	0	0	0.195049404971573
10/14/2001	290.814049552047	26.4379784957779	0.00524988287690263	5.77273900205732E-05	0.0192335384031157	0.009021072896372	1.12052140374354	12.7734188405479	0.00121827943887084	0	4.49049772931523
10/15/2001	274.667718520027	26.4395808254925	2.38344313872892E-07	0	0	0	0.927611412948697	12.6598909794103	0	0	0.814213694575118
10/16/2001	273.454551850563	26.3706885707215	1.08208151091354E-11	0	0	0	0.791579987085589	11.8771413550107	0	0	0
10/17/2001	270.489640554573	26.3009278260375	4.91264245927471E-16	0	0	0	0.673666068131321	11.2748464610479	0	0	0.00947125796703159
10/18/2001	269.90815585639	26.2258686238094	2.23033622599681E-20	0	0	0	0.753934214207562	10.5728203912836	0	0	0
10/19/2001	268.680811592111	26.1523137455391	1.01257108006962E-24	0	0	0	0.844883571490094	9.78685635159528	0	0	0
10/20/2001	267.440473854157	26.0784486822017	4.59706559146096E-29	0	0	0	0.927932103923115	8.96901555289894	0	0	0.0417327929213134
10/21/2001	266.343270269109	26.0042812320766	2.08706454965834E-33	0	0	0	0.852725267309997	8.93184512971743	0	0	0.0229282428298897
10/22/2001	265.543987165314	25.9302295723998	9.47525839644023E-38	0	0	0	0.903551277587461	8.9100097851877	0	0	0
10/23/2001	264.356088204924	25.8570796425295	4.30176065679596E-42	0	0	0	1.00055101076888	8.89180512539838	0	0	0.0747947609283774
10/24/2001	263.319657882598	25.7837862187674	1.95299631673425E-46	0	0	0	0.996974993285285	8.88679021659796	0	0	0.082380009111132
10/25/2001	378.843409543367	26.1529168355272	0.0396588541579896	0.0250882280777364	0.0430233727730514	0.0303394406746271	0.627523280317072	17.3670680026242	0.00774424508167011	0	12.005799590493
10/26/2001	273.049011405557	26.2982362292747	1.80050919323243E-06	0	0	0	0.568290145514934	16.801304237162	0	0	0.00264719123755334
10/27/2001	270.467338410009	26.2315869603021	8.17429909095746E-11	0	0	0	0.555653591301986	16.2898559500158	0	0	0
10/28/2001	269.560755314391	26.158424148109	3.71112604587615E-15	0	0	0	0.599415270959564	15.7338512883952	0	0	0
10/29/2001	268.493741401663	26.0857708099883	1.68484861822537E-19	0	0	0	0.696063642742684	15.0846035116159	0	0	0
10/30/2001	267.261304033857	26.0131386773181	7.64920089278445E-24	0	0	0	0.595433338383445	14.5435827384031	0	0	0
10/31/2001	395.252227576092	26.2653039499351	0.0578891313922173	0.00976825022924366	0.0487100341809549	0.0415023455142861	0.782820445651593	25.4519430704634	0.32935679017885	0	15.4526345600388
11/1/2001	289.708776021402	26.7733556862021	0.00245552208404253	0.00159682590394456	0.00846438105957333	0.00450150628961319	0.959140637614918	26.8411039798113	0.00093167655819138	0	2.46300033856219
11/2/2001	284.527968325168	26.7407897311952	0.00130231168036966	0	0.00638323628304731	0.00317439599217821	0.877057422962468	27.7610696755528	0.00437534604229501	0	1.93610728863869
11/3/2001	279.191692897276	26.7236583313604	5.91248588177136E-08	0	0	0	0.750144514581233	27.587611524832	0	0	0
11/4/2001	275.725827525391	26.6534187098707	2.68426443753996E-12	0	0	0	0.702959146698287	27.4851341206466	0	0	0
11/5/2001	274.814476280135	26.5747650746206	1.2186541692839E-16	0	0	0	0.598958850999621	27.4025925089951	0	0	0
11/6/2001	274.119069362266	26.4974691403848	5.53268136902989E-21	0	0	0	0.705261821915251	27.2892897741492	0	0	0
11/7/2001	272.732176680315	26.4217521836625	2.51183345552389E-25	0	0	0	0.724368922501601	27.182114113399	0	0	0
11/8/2001	305.849919231421	26.5382631831341	0.0103888373049352	0.00040023722709378	0.0257706345104847	0.0149030191135151	0.65045124127926	31.1352204459552	0.00208955727314516	0	5.62740647071378
